Validator,PT_VERSION,2.5.1
Validator,ROCM_VERSION,6.3.1.0-40-ce2be3b
Validator,HIPBLASLT_VERSION,1000-b4e5042b
Validator,GCN_ARCH_NAME,gfx942:sramecc+:xnack-
Validator,ROCBLAS_VERSION,4.3.0-8ebd6c11
GemmTunableOp_Half_TN,tn_37888_240_3584,Gemm_Hipblaslt_TN_74844,0.356273
GemmTunableOp_Half_TN,tn_152064_64_3584,Gemm_Rocblas_621282636,0.5791
GemmTunableOp_Half_TN,tn_37888_80_3584,Gemm_Hipblaslt_TN_72273,0.17093
GemmTunableOp_Half_TN,tn_37888_152_3584,Gemm_Hipblaslt_TN_72429,0.26346
GemmTunableOp_Half_TN,tn_3584_16_3584,Gemm_Rocblas_621288681,0.0135511
GemmTunableOp_Half_TN,tn_3584_168_3584,Gemm_Rocblas_621289097,0.0343389
GemmTunableOp_Half_TN,tn_3584_176_3584,Gemm_Rocblas_621289097,0.0343685
GemmTunableOp_Half_TN,tn_3584_160_3584,Gemm_Rocblas_621289097,0.0342583
GemmTunableOp_Half_TN,tn_3584_184_3584,Gemm_Rocblas_621282893,0.0348492
GemmTunableOp_Half_TN,tn_3584_72_18944,Gemm_Hipblaslt_TN_85427,0.0779393
GemmTunableOp_Half_TN,tn_3584_192_18944,Gemm_Hipblaslt_TN_72879,0.122003
GemmTunableOp_Half_TN,tn_4608_216_3584,Gemm_Rocblas_621288858,0.0506264
GemmTunableOp_Half_TN,tn_3584_224_18944,Gemm_Hipblaslt_TN_72277,0.140005
GemmTunableOp_Half_TN,tn_37888_200_3584,Gemm_Hipblaslt_TN_88172,0.321643
GemmTunableOp_Half_TN,tn_3584_256_18944,Gemm_Hipblaslt_TN_72369,0.150422
GemmTunableOp_Half_TN,tn_37888_112_3584,Gemm_Hipblaslt_TN_72069,0.237338
GemmTunableOp_Half_TN,tn_3584_131072_18944,Gemm_Hipblaslt_TN_74279,71.8382
GemmTunableOp_Half_TN,tn_3584_128_3584,Gemm_Rocblas_621288850,0.0286128
GemmTunableOp_Half_TN,tn_3584_120_3584,Gemm_Rocblas_621288850,0.0288071
GemmTunableOp_Half_TN,tn_3584_104_3584,Gemm_Rocblas_621282641,0.0287807
GemmTunableOp_Half_TN,tn_18944_106444_3584,Gemm_Hipblaslt_TN_107347,57.0286
GemmTunableOp_Half_TN,tn_3584_131072_9472,Gemm_Rocblas_621282466,34.8026
GemmTunableOp_Half_TN,tn_3584_104_1792,Gemm_Rocblas_621288872,0.0184348
GemmTunableOp_Half_TN,tn_2304_88_3584,Gemm_Rocblas_621282600,0.020969
GemmTunableOp_Half_TN,tn_2304_72_3584,Gemm_Hipblaslt_TN_71715,0.0201017
GemmTunableOp_Half_TN,tn_2304_40_3584,Gemm_Rocblas_621282493,0.0152152
GemmTunableOp_Half_TN,tn_2304_32_3584,Gemm_Rocblas_621288653,0.0126882
GemmTunableOp_Half_TN,tn_2304_240_3584,Gemm_Rocblas_621288848,0.0293215
GemmTunableOp_Half_TN,tn_2304_168_3584,Gemm_Hipblaslt_TN_74605,0.0275853
GemmTunableOp_Half_TN,tn_3584_106444_1792,Gemm_Rocblas_621282559,5.41937
GemmTunableOp_Half_TN,tn_18944_184_3584,Gemm_Hipblaslt_TN_9238,0.113666
GemmTunableOp_Half_TN,tn_18944_144_3584,Gemm_Hipblaslt_TN_72928,0.097711
GemmTunableOp_Half_TN,tn_2304_208_3584,Gemm_Rocblas_621288848,0.029009
GemmTunableOp_Half_TN,tn_18944_232_3584,Gemm_Rocblas_621288675,0.158179
GemmTunableOp_Half_TN,tn_2304_136_3584,Gemm_Hipblaslt_TN_74520,0.0261684
GemmTunableOp_Half_TN,tn_2304_56_3584,Gemm_Rocblas_621282493,0.0151283
GemmTunableOp_Half_TN,tn_18944_64_3584,Gemm_Rocblas_621288872,0.0539548
GemmTunableOp_Half_TN,tn_18944_72_3584,Gemm_Hipblaslt_TN_72273,0.0739258
GemmTunableOp_Half_TN,tn_2304_184_3584,Gemm_Hipblaslt_TN_87454,0.0276057
GemmTunableOp_Half_TN,tn_2304_112_3584,Gemm_Rocblas_621288818,0.0210719
GemmTunableOp_Half_TN,tn_2304_16_3584,Gemm_Rocblas_621282453,0.0104116
GemmTunableOp_Half_TN,tn_18944_128_3584,Gemm_Rocblas_621282731,0.0826513
GemmTunableOp_Half_TN,tn_2304_224_3584,Gemm_Rocblas_621288848,0.0291244
GemmTunableOp_Half_TN,tn_3584_106444_9472,Gemm_Rocblas_621282447,28.3453
GemmTunableOp_Half_TN,tn_3584_104_9472,Gemm_Hipblaslt_TN_72046,0.0537717
GemmTunableOp_Half_TN,tn_2304_80_3584,Gemm_Hipblaslt_TN_72469,0.0204951
GemmTunableOp_Half_TN,tn_2304_64_3584,Gemm_Rocblas_621288715,0.0152188
GemmTunableOp_Half_TN,tn_2304_256_3584,Gemm_Rocblas_621288848,0.0290299
GemmTunableOp_Half_TN,tn_2304_248_3584,Gemm_Rocblas_621282639,0.0291681
GemmTunableOp_Half_TN,tn_2304_232_3584,Gemm_Rocblas_621282639,0.0291969
GemmTunableOp_Half_TN,tn_2304_24_3584,Gemm_Rocblas_621282456,0.0126678
GemmTunableOp_Half_TN,tn_18944_136_3584,Gemm_Hipblaslt_TN_72928,0.0975588
GemmTunableOp_Half_TN,tn_18944_168_3584,Gemm_Hipblaslt_TN_72540,0.111847
GemmTunableOp_Half_TN,tn_2304_176_3584,Gemm_Hipblaslt_TN_87821,0.02755
GemmTunableOp_Half_TN,tn_2304_8_3584,Gemm_Rocblas_621288646,0.0104396
GemmTunableOp_Half_TN,tn_2304_48_3584,Gemm_Rocblas_621282493,0.0151122
GemmTunableOp_Half_TN,tn_18944_96_3584,Gemm_Hipblaslt_TN_71916,0.0749622
GemmTunableOp_Half_TN,tn_2304_128_3584,Gemm_Rocblas_621282600,0.0208769
GemmTunableOp_Half_TN,tn_18944_248_3584,Gemm_Rocblas_621282463,0.157523
GemmTunableOp_Half_TN,tn_2304_192_3584,Gemm_Hipblaslt_TN_74605,0.0271627
GemmTunableOp_Half_TN,tn_2304_200_3584,Gemm_Rocblas_621282639,0.0289173
GemmTunableOp_Half_TN,tn_2304_144_3584,Gemm_Hipblaslt_TN_87820,0.026069
GemmTunableOp_Half_TN,tn_76032_52_3584,Gemm_Rocblas_621282633,0.29357
GemmTunableOp_Half_TN,tn_18944_208_3584,Gemm_Rocblas_621282462,0.127994
GemmTunableOp_Half_TN,tn_2304_152_3584,Gemm_Hipblaslt_TN_74520,0.0261255
GemmTunableOp_Half_TN,tn_2304_160_3584,Gemm_Hipblaslt_TN_74443,0.0258647
GemmTunableOp_Half_TN,tn_2304_96_3584,Gemm_Rocblas_621282600,0.0209061
GemmTunableOp_Half_TN,tn_2304_216_3584,Gemm_Rocblas_621282639,0.0290062
GemmTunableOp_Half_TN,tn_18944_131072_3584,Gemm_Hipblaslt_TN_9240,70.9799
GemmTunableOp_Half_TN,tn_76032_244_3584,Gemm_Rocblas_621282441,0.766357
GemmTunableOp_Half_TN,tn_3584_88_9472,Gemm_Hipblaslt_TN_71899,0.0459045
GemmTunableOp_Half_TN,tn_3584_88_1792,Gemm_Hipblaslt_TN_87821,0.0178528
GemmTunableOp_Half_TN,tn_3584_72_9472,Gemm_Hipblaslt_TN_71899,0.0455339
GemmTunableOp_Half_TN,tn_3584_72_1792,Default,0.0173625
GemmTunableOp_Half_TN,tn_3584_64_9472,Gemm_Hipblaslt_TN_71770,0.0390542
GemmTunableOp_Half_TN,tn_3584_56_1792,Gemm_Rocblas_621288839,0.0137595
GemmTunableOp_Half_TN,tn_3584_136_9472,Gemm_Hipblaslt_TN_72122,0.0603822
GemmTunableOp_Half_TN,tn_3584_96_1792,Gemm_Hipblaslt_TN_72181,0.0175792
GemmTunableOp_Half_TN,tn_3584_256_9472,Gemm_Hipblaslt_TN_72631,0.0859915
GemmTunableOp_Half_TN,tn_2304_131072_3584,Gemm_Rocblas_621289105,8.34993
GemmTunableOp_Half_TN,tn_3584_168_9472,Gemm_Hipblaslt_TN_72195,0.0699161
GemmTunableOp_Half_TN,tn_3584_152_9472,Gemm_Hipblaslt_TN_72121,0.061945
GemmTunableOp_Half_TN,tn_2304_120_3584,Gemm_Rocblas_621282600,0.0209237
GemmTunableOp_Half_TN,tn_18944_200_3584,Gemm_Rocblas_621288659,0.126133
GemmTunableOp_Half_TN,tn_3584_184_9472,Gemm_Hipblaslt_TN_72488,0.0702751
GemmTunableOp_Half_TN,tn_3584_48_9472,Gemm_Hipblaslt_TN_74656,0.0368906
GemmTunableOp_Half_TN,tn_3584_224_1792,Gemm_Rocblas_621282647,0.0253817
GemmTunableOp_Half_TN,tn_3584_131008_1792,Gemm_Rocblas_621282559,6.85921
GemmTunableOp_Half_TN,tn_3584_160_9472,Gemm_Hipblaslt_TN_72122,0.0601218
GemmTunableOp_Half_TN,tn_18944_80_3584,Gemm_Hipblaslt_TN_74372,0.0727569
GemmTunableOp_Half_TN,tn_3584_136_1792,Gemm_Rocblas_621289097,0.0214142
GemmTunableOp_Half_TN,tn_3584_240_9472,Gemm_Hipblaslt_TN_74120,0.0869281
GemmTunableOp_Half_TN,tn_18944_152_3584,Gemm_Hipblaslt_TN_72796,0.099962
GemmTunableOp_Half_TN,tn_3584_184_1792,Gemm_Rocblas_621289097,0.0219906
GemmTunableOp_Half_TN,tn_3584_256_1792,Gemm_Rocblas_621282647,0.0242364
GemmTunableOp_Half_TN,tn_3584_200_1792,Gemm_Rocblas_621282647,0.0255083
GemmTunableOp_Half_TN,tn_3584_80_1792,Gemm_Hipblaslt_TN_71837,0.016921
GemmTunableOp_Half_TN,tn_3584_152_1792,Gemm_Rocblas_621282893,0.0216409
GemmTunableOp_Half_TN,tn_18944_24_3584,Gemm_Rocblas_621288838,0.0450594
GemmTunableOp_Half_TN,tn_18944_120_3584,Gemm_Rocblas_621283194,0.0852604
GemmTunableOp_Half_TN,tn_3584_208_1792,Gemm_Rocblas_621288856,0.0254009
GemmTunableOp_Half_TN,tn_3584_24_1792,Gemm_Rocblas_621282461,0.0108539
GemmTunableOp_Half_TN,tn_3584_208_9472,Gemm_Hipblaslt_TN_74087,0.0796303
GemmTunableOp_Half_TN,tn_3584_64_1792,Gemm_Rocblas_621282600,0.013439
GemmTunableOp_Half_TN,tn_18944_240_3584,Gemm_Rocblas_621282463,0.155788
GemmTunableOp_Half_TN,tn_3584_224_9472,Gemm_Hipblaslt_TN_74087,0.0792934
GemmTunableOp_Half_TN,tn_3584_24_9472,Gemm_Rocblas_621288715,0.0289843
GemmTunableOp_Half_TN,tn_3584_240_1792,Gemm_Rocblas_621288856,0.0254117
GemmTunableOp_Half_TN,tn_76032_64_3584,Gemm_Rocblas_621288845,0.290944
GemmTunableOp_Half_TN,tn_3584_48_1792,Default,0.0144713
GemmTunableOp_Half_TN,tn_3584_40_1792,Gemm_Rocblas_621282630,0.013612
GemmTunableOp_Half_TN,tn_76032_256_3584,Gemm_Rocblas_621282442,0.733777
GemmTunableOp_Half_TN,tn_3584_96_9472,Gemm_Hipblaslt_TN_71899,0.0464385
GemmTunableOp_Half_TN,tn_3584_80_9472,Gemm_Hipblaslt_TN_72866,0.0472505
GemmTunableOp_Half_TN,tn_3584_8_9472,Gemm_Rocblas_621288647,0.0253436
GemmTunableOp_Half_TN,tn_3584_8_1792,Gemm_Rocblas_621282454,0.00957677
GemmTunableOp_Half_TN,tn_3584_40_9472,Default,0.0374911
GemmTunableOp_Half_TN,tn_3584_32_9472,Gemm_Rocblas_621288657,0.0288052
GemmTunableOp_Half_TN,tn_3584_32_1792,Gemm_Rocblas_621282493,0.0107133
GemmTunableOp_Half_TN,tn_3584_128_9472,Gemm_Hipblaslt_TN_72046,0.0533845
GemmTunableOp_Half_TN,tn_3584_112_9472,Gemm_Hipblaslt_TN_73234,0.0554059
GemmTunableOp_Half_TN,tn_2304_106444_3584,Gemm_Rocblas_621289105,6.8121
GemmTunableOp_Half_TN,tn_3584_232_1792,Gemm_Rocblas_621282647,0.0254157
GemmTunableOp_Half_TN,tn_2304_104_3584,Gemm_Rocblas_621282600,0.0210495
GemmTunableOp_Half_TN,tn_18944_256_3584,Gemm_Rocblas_621288666,0.15471
GemmTunableOp_Half_TN,tn_3584_144_1792,Gemm_Rocblas_621282893,0.0215151
GemmTunableOp_Half_TN,tn_3584_216_9472,Gemm_Hipblaslt_TN_72277,0.0799985
GemmTunableOp_Half_TN,tn_18944_176_3584,Gemm_Hipblaslt_TN_72805,0.112139
GemmTunableOp_Half_TN,tn_3584_248_1792,Gemm_Rocblas_621282647,0.0256421
GemmTunableOp_Half_TN,tn_3584_128_1792,Gemm_Rocblas_621288847,0.0182089
GemmTunableOp_Half_TN,tn_18944_216_3584,Gemm_Rocblas_621288659,0.128446
GemmTunableOp_Half_TN,tn_3584_120_9472,Gemm_Hipblaslt_TN_72046,0.0544172
GemmTunableOp_Half_TN,tn_3584_168_1792,Gemm_Rocblas_621289097,0.0218756
GemmTunableOp_Half_TN,tn_18944_16_3584,Gemm_Rocblas_621288685,0.0393493
GemmTunableOp_Half_TN,tn_3584_160_1792,Gemm_Rocblas_621289097,0.0215219
GemmTunableOp_Half_TN,tn_3584_120_1792,Gemm_Rocblas_621282639,0.0184128
GemmTunableOp_Half_TN,tn_18944_112_3584,Gemm_Rocblas_621283194,0.0854367
GemmTunableOp_Half_TN,tn_3584_131072_1792,Gemm_Rocblas_621282559,6.64786
GemmTunableOp_Half_TN,tn_3584_248_9472,Gemm_Hipblaslt_TN_72631,0.0882056
GemmTunableOp_Half_TN,tn_3584_112_1792,Gemm_Rocblas_621282641,0.0182642
GemmTunableOp_Half_TN,tn_3584_144_9472,Gemm_Hipblaslt_TN_85574,0.0619498
GemmTunableOp_Half_TN,tn_3584_16_1792,Gemm_Rocblas_621282454,0.00955755
GemmTunableOp_Half_TN,tn_3584_192_9472,Gemm_Hipblaslt_TN_72195,0.0702911
